rank,subject,specialness_score,tup_count,total_count,calibration_source,mean_neck_angle,mean_head_depth_delta,mean_depth_delta,mean_torso_tilt,mean_shoulder_diff,mean_shoulder_width,z_neck_angle,z_head_depth_delta,z_depth_delta,z_torso_tilt,z_shoulder_diff,z_shoulder_width,label_count_tup,label_count_tlf,label_count_tlb,label_count_tlr,label_count_tll,special_threshold_flag
1,8,2.0267,61,270,TUP only,12.714268,-0.299398,-0.034209,1.612286,22.357731,0.349958,-0.087612,-1.215018,-0.721886,-0.749957,-0.525611,1.124243,61,148,1,30,30,True
2,9,1.9014,107,270,TUP only,14.028298,-0.24828,-0.003632,4.214227,31.232456,0.312814,0.032671,1.082682,0.035961,0.291493,0.696646,-1.367605,107,62,41,30,30,False
3,7,1.8695,50,300,TUP only,7.3356,-0.253968,0.028712,4.746311,17.677801,0.338965,-0.579963,0.827001,0.837579,0.504464,-1.170147,0.386775,50,144,46,30,30,False
4,13,1.7209,55,270,TUP only,6.73189,-0.258927,0.015527,0.824616,22.237866,0.322622,-0.635225,0.604095,0.510811,-1.065229,-0.54212,-0.709644,55,79,76,30,30,False
5,10,1.5675,95,270,TUP only,17.185705,-0.246174,0.012021,3.822939,29.721441,0.322338,0.321693,1.177356,0.423906,0.134876,0.488544,-0.728662,95,38,77,30,30,False
6,5,1.4698,141,444,TUP only,19.630413,-0.293803,-0.029857,4.487597,27.934533,0.341864,0.545476,-0.963538,-0.614012,0.400911,0.242445,0.581255,141,243,0,30,30,False
7,1,1.1951,203,540,TUP only,7.170194,-0.287016,-0.002506,2.838118,22.057669,0.32578,-0.595103,-0.658461,0.06387,-0.259307,-0.566937,-0.497805,203,163,54,60,60,False
8,3,1.1147,169,480,TUP only,22.832364,-0.285522,0.008723,2.906479,26.598798,0.331354,0.838575,-0.591307,0.34216,-0.231945,0.058483,-0.123821,169,240,11,30,30,False
9,12,1.1143,91,270,TUP only,3.927093,-0.265542,0.009423,2.995957,29.198804,0.331656,-0.891969,0.306745,0.359517,-0.196131,0.416565,-0.103608,91,60,59,30,30,False
10,11,1.0559,108,270,TUP only,9.442334,-0.26429,-0.009218,3.432168,19.671886,0.331069,-0.387117,0.363026,-0.102485,-0.021533,-0.895515,-0.142947,108,94,8,30,30,False
11,6,0.9897,131,480,TUP only,17.330495,-0.277843,-0.014189,2.904273,29.182787,0.344051,0.334947,-0.246161,-0.225683,-0.232828,0.414359,0.727967,131,279,10,30,30,False
12,2,0.8635,236,450,TUP only,13.32783,-0.261938,-0.00765,4.043449,24.975386,0.34313,-0.031448,0.468742,-0.063625,0.223137,-0.165099,0.666192,236,142,12,30,30,False
13,4,0.835,168,480,TUP only,15.226777,-0.272922,-0.01261,4.503638,31.098784,0.331334,0.142377,-0.024965,-0.186548,0.407332,0.678237,-0.125153,168,205,47,30,30,False
